# synset_id	pos	english_lemmas	korean_lemmas
00342028-n	Noun	rotary_motion, rotation	자전, 선전, 회전
00342314-v	Verb	fall	실추하, 떨어지
00342424-n	Noun	circumvolution	소용돌이, 회전
00342755-n	Noun	whirling, gyration	선전, 회전
00343249-n	Noun	twist, whirl, twirl, spin, twisting	자전, 소용돌이, 회전
00343606-n	Noun	spiral	소용돌이
00345454-n	Noun	twist, turn	회전
00345761-v	Verb	commence, get_down, start_out, set_out, get, start, begin, set_about	경시하, 착수하, 시작하, 스타트하
00346693-n	Noun	reversal, reversion, turnaround, reverse, turnabout	전환
00347087-n	Noun	u-turn	유턴
00348252-v	Verb	enter, embark	들어가
00348312-n	Noun	overturn, turnover, upset	전환, 전복
00348541-v	Verb	get_moving, get_weaving, get_going, bestir_oneself, get_cracking, get_started, get_rolling	착수하
00348746-v	Verb	commence, start, begin, lead_off	경시하, 착수하, 시작하, 스타트하
00349080-n	Noun	standing	서
00350030-n	Noun	turn, turning	전환, 회전
00350380-n	Noun	deviation, diversion, deflexion, digression, divagation, deflection	변환, 전환
00351000-n	Noun	right	우회전
00352861-n	Noun	price_cutting, price_cut	할인
00353782-n	Noun	cutback	삭감
00354884-n	Noun	relief, easement, easing, alleviation	대신
00356367-n	Noun	expenditure, using_up, consumption	소비, 소모
00358290-n	Noun	pulverisation, pulverization, mill, grind	밀, 분쇄
00359492-n	Noun	severing, severance	분리, 절단
00359822-n	Noun	haircut	이발
00360485-n	Noun	shrinking	수축
00360932-v	Verb	be_born	출생하, 탄생하
00362659-n	Noun	dilution	희석
00363260-n	Noun	increase, step-up	증대, 증액, 증가, 증식, 증강, 증진, 팽창, 번식
00363788-n	Noun	addition	첨가, 플러스, 증가, 치환, 추가, 부가
00364260-n	Noun	advance, rise	증진, 증가
00364600-n	Noun	depreciation	감가
00364787-n	Noun	surge, upsurge	급증
00365231-n	Noun	augmentation	증대, 증액, 증가, 증강, 증식
00365329-n	Noun	amplification	증폭
00365709-n	Noun	expansion, enlargement	증대, 증가, 전개, 증식, 확충, 팽창, 확장, 증설, 확대
00365810-v	Verb	sublimate, sublime	승화하
00365995-n	Noun	dilation, dilatation	확장, 팽창, 확대
00366020-v	Verb	sublimate, sublime	승화하
00366317-n	Noun	distention, distension	팽창, 확장
00366521-n	Noun	stretching	신축
00366846-n	Noun	escalation	증대
00367280-n	Noun	inflation	팽창
00367427-n	Noun	magnification	증폭, 확대
00367768-n	Noun	extension	확장, 확대, 부식
00367976-n	Noun	spreading, spread	전개, 확장, 부식
00369532-n	Noun	extension	확장, 확대, 부식
00371314-n	Noun	expanding_upon, expansion	팽창, 증가
00371487-n	Noun	amplification, elaboration	가제, 증폭
00371735-n	Noun	annotating, annotation	주석, 주
00372226-n	Noun	buildup	증대, 증강, 증가, 증식
00372607-n	Noun	reposition, repositing, warehousing, storage	저장, 축적, 장치, 비축
00372977-n	Noun	stockpiling	저장, 축적
00373130-n	Noun	inclusion	포용, 포함, 내포
00373544-n	Noun	aggrandizement, aggrandisement, elevation	증대, 확장
00374224-n	Noun	intensification	증강
00374677-n	Noun	intensification	증강
00374835-n	Noun	aggravation, exacerbation	증진
00375071-n	Noun	concentration	농축
00376400-n	Noun	breaking, break, breakage	파손, 분쇄, 파괴, 타파, 파열, 균열, 훼손, 손상
00376715-n	Noun	rupture	파열, 파괴
00376825-n	Noun	shattering, smashing	파손, 분쇄
00376994-n	Noun	fracture, cracking, crack	균열, 파손, 파괴
00377002-v	Verb	combust, burn	연소하, 사르
00377351-v	Verb	go_up, burn_up, burn_down	소실하, 소진하
00378042-v	Verb	incinerate, burn	소각하, 사르, 연소하
00378361-v	Verb	incinerate	소각하
00378479-n	Noun	ignition, firing, inflammation, kindling, lighting	발화, 점화
00378985-n	Noun	combination, combining, compounding	조합
